Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Total,Payment,Rating
C,Naypyitaw,Member,Male,Fashion accessories,79.09,1,83.04,Credit card,6.8
C,Naypyitaw,Member,Female,Home and lifestyle,84.82,2,178.12,Cash,8.0
A,Yangon,Normal,Male,Home and lifestyle,69.28,7,509.21,Cash,4.4
C,Naypyitaw,Normal,Female,Food and beverages,55.6,7,408.66,Credit card,4.2
B,Mandalay,Member,Male,Electronic accessories,69.18,6,435.83,Ewallet,7.9
A,Yangon,Normal,Female,Sports and travel,19.54,2,41.03,Cash,5.3
C,Naypyitaw,Member,Female,Home and lifestyle,45.2,10,474.6,Credit card,7.0
B,Mandalay,Member,Female,Health and beauty,36.59,2,76.84,Ewallet,9.0
C,Naypyitaw,Member,Female,Home and lifestyle,40.88,4,171.7,Credit card,6.9
B,Mandalay,Member,Female,Fashion accessories,72.71,6,458.07,Ewallet,5.8
C,Naypyitaw,Member,Male,Home and lifestyle,68.32,3,215.21,Credit card,5.5
A,Yangon,Member,Female,Food and beverages,48.37,8,406.31,Ewallet,8.8
C,Naypyitaw,Member,Male,Fashion accessories,69.16,7,508.33,Ewallet,8.4
A,Yangon,Normal,Female,Sports and travel,10.4,4,43.68,Ewallet,5.7
C,Naypyitaw,Member,Male,Food and beverages,26.83,6,169.03,Ewallet,6.7
B,Mandalay,Normal,Female,Food and beverages,44.98,7,330.6,Credit card,4.7
B,Mandalay,Normal,Male,Fashion accessories,73.54,5,386.09,Credit card,7.5
C,Naypyitaw,Member,Female,Health and beauty,31.47,2,66.09,Ewallet,6.2
A,Yangon,Normal,Female,Food and beverages,22.41,7,164.71,Cash,5.1
C,Naypyitaw,Member,Male,Sports and travel,36.0,3,113.4,Cash,9.1
C,Naypyitaw,Member,Female,Health and beauty,53.61,4,225.16,Cash,9.8
C,Naypyitaw,Normal,Female,Fashion accessories,54.26,8,455.78,Cash,5.0
C,Naypyitaw,Member,Male,Home and lifestyle,12.94,4,54.35,Credit card,5.7
B,Mandalay,Normal,Male,Food and beverages,20.28,9,191.65,Cash,7.3
A,Yangon,Normal,Male,Sports and travel,19.22,4,80.72,Cash,9.2
A,Yangon,Normal,Female,Home and lifestyle,87.6,2,183.96,Cash,9.2
A,Yangon,Member,Male,Fashion accessories,62.91,6,396.33,Credit card,7.7
B,Mandalay,Member,Male,Electronic accessories,83.22,1,87.38,Credit card,6.1
B,Mandalay,Member,Female,Fashion accessories,36.34,10,381.57,Cash,9.7
C,Naypyitaw,Member,Male,Sports and travel,92.69,5,486.62,Credit card,4.8
A,Yangon,Member,Male,Fashion accessories,38.99,4,163.76,Credit card,6.4
A,Yangon,Normal,Female,Sports and travel,50.68,2,106.43,Cash,7.1
B,Mandalay,Normal,Female,Sports and travel,39.46,1,41.43,Credit card,4.6
B,Mandalay,Normal,Male,Food and beverages,45.79,7,336.56,Ewallet,7.0
B,Mandalay,Normal,Female,Food and beverages,62.01,10,651.11,Cash,8.7
C,Naypyitaw,Member,Male,Health and beauty,66.36,8,557.42,Ewallet,4.7
A,Yangon,Normal,Female,Health and beauty,99.27,7,729.63,Ewallet,10.0
A,Yangon,Normal,Male,Home and lifestyle,18.4,6,115.92,Cash,4.5
C,Naypyitaw,Member,Male,Sports and travel,66.3,4,278.46,Cash,7.9
C,Naypyitaw,Member,Male,Electronic accessories,52.91,3,166.67,Credit card,5.4
C,Naypyitaw,Normal,Male,Health and beauty,72.6,2,152.46,Cash,8.2
B,Mandalay,Member,Male,Sports and travel,18.04,2,37.88,Ewallet,5.9
B,Mandalay,Member,Female,Electronic accessories,67.74,3,213.38,Ewallet,7.2
A,Yangon,Member,Female,Home and lifestyle,75.02,3,236.31,Cash,7.7
B,Mandalay,Member,Male,Health and beauty,22.6,2,47.46,Credit card,8.4
B,Mandalay,Normal,Female,Electronic accessories,32.3,2,67.83,Ewallet,7.3
C,Naypyitaw,Normal,Male,Fashion accessories,88.82,4,373.04,Credit card,7.6
A,Yangon,Normal,Female,Fashion accessories,14.91,4,62.62,Cash,6.3
A,Yangon,Normal,Male,Food and beverages,89.99,1,94.49,Cash,9.6
A,Yangon,Normal,Female,Home and lifestyle,59.17,3,186.39,Cash,9.7
A,Yangon,Member,Male,Health and beauty,33.6,1,35.28,Ewallet,9.7
B,Mandalay,Normal,Female,Sports and travel,73.16,2,153.64,Credit card,7.2
C,Naypyitaw,Member,Female,Health and beauty,37.89,9,358.06,Ewallet,9.8
A,Yangon,Normal,Female,Food and beverages,67.09,2,140.89,Cash,8.2
C,Naypyitaw,Member,Male,Electronic accessories,17.76,7,130.54,Ewallet,6.7
C,Naypyitaw,Member,Female,Fashion accessories,76.75,3,241.76,Ewallet,4.1
A,Yangon,Member,Male,Sports and travel,95.77,9,905.03,Credit card,8.7
C,Naypyitaw,Normal,Male,Home and lifestyle,21.42,5,112.46,Credit card,9.3
A,Yangon,Normal,Female,Home and lifestyle,57.15,5,300.04,Credit card,9.9
C,Naypyitaw,Member,Female,Sports and travel,55.97,1,58.77,Cash,9.2
A,Yangon,Normal,Male,Home and lifestyle,79.6,10,835.8,Credit card,8.3
A,Yangon,Member,Male,Health and beauty,32.01,8,268.88,Cash,6.3
A,Yangon,Member,Male,Food and beverages,82.28,7,604.76,Ewallet,5.9
B,Mandalay,Normal,Female,Health and beauty,61.44,2,129.02,Credit card,8.0
A,Yangon,Member,Male,Food and beverages,98.33,7,722.73,Ewallet,9.3
B,Mandalay,Normal,Female,Health and beauty,59.78,1,62.77,Cash,5.2
C,Naypyitaw,Normal,Male,Sports and travel,43.14,8,362.38,Ewallet,8.4
C,Naypyitaw,Member,Male,Health and beauty,93.92,1,98.62,Ewallet,7.2
C,Naypyitaw,Member,Female,Health and beauty,78.3,7,575.5,Credit card,8.4
A,Yangon,Member,Male,Sports and travel,54.28,1,56.99,Ewallet,8.3
A,Yangon,Member,Male,Food and beverages,47.18,6,297.23,Cash,9.8
A,Yangon,Member,Male,Fashion accessories,83.8,2,175.98,Credit card,7.4
B,Mandalay,Member,Male,Home and lifestyle,33.49,6,210.99,Cash,8.2
C,Naypyitaw,Normal,Female,Sports and travel,34.48,2,72.41,Ewallet,4.8
C,Naypyitaw,Member,Male,Health and beauty,24.79,8,208.24,Cash,6.4
C,Naypyitaw,Normal,Male,Sports and travel,37.75,5,198.19,Ewallet,4.5
C,Naypyitaw,Normal,Male,Electronic accessories,85.23,6,536.95,Ewallet,4.5
A,Yangon,Normal,Female,Food and beverages,14.41,5,75.65,Cash,8.9
A,Yangon,Member,Female,Sports and travel,60.04,9,567.38,Ewallet,4.6
A,Yangon,Member,Male,Health and beauty,15.55,4,65.31,Ewallet,5.2
B,Mandalay,Normal,Male,Food and beverages,62.75,2,131.78,Ewallet,10.0
A,Yangon,Normal,Male,Health and beauty,91.46,6,576.2,Ewallet,4.3
B,Mandalay,Member,Male,Food and beverages,48.98,7,360.0,Cash,4.2
C,Naypyitaw,Normal,Male,Home and lifestyle,29.32,3,92.36,Cash,5.7
A,Yangon,Member,Male,Fashion accessories,36.56,7,268.72,Credit card,6.9
A,Yangon,Normal,Female,Electronic accessories,47.73,9,451.05,Ewallet,7.8
C,Naypyitaw,Member,Female,Fashion accessories,42.32,9,399.92,Cash,6.1
C,Naypyitaw,Normal,Female,Home and lifestyle,26.18,6,164.93,Credit card,5.3
B,Mandalay,Member,Female,Food and beverages,42.17,10,442.79,Ewallet,9.8
A,Yangon,Member,Male,Home and lifestyle,58.03,1,60.93,Ewallet,7.5
B,Mandalay,Normal,Male,Electronic accessories,31.29,6,197.13,Credit card,8.2
C,Naypyitaw,Member,Female,Food and beverages,60.72,10,637.56,Ewallet,9.0
B,Mandalay,Normal,Male,Sports and travel,13.42,1,14.09,Ewallet,7.6
A,Yangon,Normal,Male,Home and lifestyle,92.61,4,388.96,Ewallet,6.0
A,Yangon,Normal,Male,Health and beauty,23.29,3,73.36,Ewallet,9.1
B,Mandalay,Member,Female,Fashion accessories,94.77,7,696.56,Credit card,4.6
B,Mandalay,Normal,Male,Electronic accessories,75.91,7,557.94,Credit card,9.8
C,Naypyitaw,Normal,Male,Fashion accessories,97.19,10,1020.5,Cash,5.3
C,Naypyitaw,Member,Female,Home and lifestyle,76.06,5,399.32,Ewallet,5.1
A,Yangon,Normal,Male,Electronic accessories,64.21,10,674.2,Ewallet,7.8
A,Yangon,Normal,Male,Home and lifestyle,77.08,4,323.74,Cash,9.9
A,Yangon,Member,Female,Sports and travel,11.03,4,46.33,Ewallet,8.2
B,Mandalay,Normal,Male,Fashion accessories,10.12,7,74.38,Cash,8.4
A,Yangon,Normal,Female,Sports and travel,41.61,7,305.83,Ewallet,9.0
C,Naypyitaw,Member,Male,Sports and travel,16.63,1,17.46,Cash,4.1
B,Mandalay,Member,Male,Home and lifestyle,25.31,7,186.03,Ewallet,8.4
C,Naypyitaw,Member,Female,Food and beverages,98.67,8,828.83,Credit card,4.2
C,Naypyitaw,Member,Female,Electronic accessories,14.82,6,93.37,Ewallet,9.8
B,Mandalay,Normal,Female,Home and lifestyle,31.38,1,32.95,Cash,7.4
B,Mandalay,Member,Male,Home and lifestyle,10.34,2,21.71,Cash,8.9
C,Naypyitaw,Normal,Male,Health and beauty,12.32,3,38.81,Credit card,5.8
A,Yangon,Normal,Male,Home and lifestyle,80.64,8,677.38,Cash,9.4
B,Mandalay,Member,Female,Electronic accessories,43.39,7,318.92,Cash,5.1
A,Yangon,Normal,Female,Sports and travel,33.71,5,176.98,Credit card,4.4
C,Naypyitaw,Member,Male,Fashion accessories,40.94,9,386.88,Cash,9.8
C,Naypyitaw,Member,Male,Sports and travel,83.66,7,614.9,Credit card,8.1
B,Mandalay,Member,Female,Home and lifestyle,17.11,1,17.97,Credit card,7.4
C,Naypyitaw,Member,Male,Sports and travel,25.56,3,80.51,Ewallet,8.9
A,Yangon,Member,Female,Health and beauty,98.95,7,727.28,Ewallet,10.0
C,Naypyitaw,Member,Female,Home and lifestyle,91.97,2,193.14,Ewallet,6.3
B,Mandalay,Normal,Female,Food and beverages,51.23,1,53.79,Credit card,7.7
C,Naypyitaw,Normal,Male,Sports and travel,23.47,10,246.44,Credit card,7.5
A,Yangon,Member,Male,Home and lifestyle,88.07,6,554.84,Cash,5.6
C,Naypyitaw,Normal,Female,Health and beauty,25.5,7,187.43,Ewallet,7.7
C,Naypyitaw,Normal,Male,Sports and travel,90.06,6,567.38,Credit card,5.4
C,Naypyitaw,Normal,Female,Home and lifestyle,11.82,5,62.06,Cash,5.7
B,Mandalay,Member,Male,Electronic accessories,37.04,8,311.14,Cash,5.6
B,Mandalay,Member,Male,Sports and travel,29.03,7,213.37,Credit card,6.9
C,Naypyitaw,Normal,Male,Food and beverages,81.23,2,170.58,Cash,8.3
B,Mandalay,Member,Male,Electronic accessories,27.35,4,114.87,Ewallet,5.5
B,Mandalay,Member,Female,Fashion accessories,27.92,6,175.9,Cash,7.0
C,Naypyitaw,Member,Male,Electronic accessories,43.52,10,456.96,Cash,5.1
B,Mandalay,Normal,Female,Electronic accessories,85.39,5,448.3,Credit card,9.0
A,Yangon,Normal,Male,Sports and travel,14.47,10,151.94,Ewallet,9.1
C,Naypyitaw,Member,Male,Home and lifestyle,68.64,9,648.65,Ewallet,9.2
C,Naypyitaw,Member,Female,Electronic accessories,68.26,10,716.73,Ewallet,5.3
C,Naypyitaw,Normal,Female,Sports and travel,90.59,6,570.72,Cash,5.5
B,Mandalay,Normal,Female,Food and beverages,19.21,9,181.53,Credit card,9.8
B,Mandalay,Normal,Female,Fashion accessories,19.73,2,41.43,Cash,9.9
C,Naypyitaw,Normal,Female,Home and lifestyle,69.05,5,362.51,Ewallet,4.9
A,Yangon,Member,Female,Fashion accessories,38.76,3,122.09,Credit card,4.2
B,Mandalay,Normal,Female,Sports and travel,46.41,1,48.73,Credit card,8.2
C,Naypyitaw,Member,Female,Fashion accessories,74.2,9,701.19,Credit card,8.7
C,Naypyitaw,Normal,Female,Electronic accessories,85.66,9,809.49,Ewallet,5.8
B,Mandalay,Member,Female,Fashion accessories,82.75,3,260.66,Credit card,9.4
C,Naypyitaw,Member,Male,Home and lifestyle,30.1,5,158.03,Cash,8.7
B,Mandalay,Normal,Female,Food and beverages,36.46,2,76.57,Cash,4.3
C,Naypyitaw,Member,Female,Electronic accessories,55.04,7,404.54,Credit card,5.8
A,Yangon,Member,Male,Electronic accessories,40.84,10,428.82,Cash,4.9
C,Naypyitaw,Member,Male,Sports and travel,39.94,3,125.81,Cash,7.8
A,Yangon,Normal,Female,Electronic accessories,78.51,3,247.31,Credit card,8.6
B,Mandalay,Member,Male,Food and beverages,49.03,7,360.37,Cash,6.6
B,Mandalay,Normal,Male,Health and beauty,58.04,6,365.65,Ewallet,9.4
C,Naypyitaw,Member,Male,Fashion accessories,10.37,4,43.55,Ewallet,8.2
B,Mandalay,Normal,Male,Health and beauty,44.52,10,467.46,Cash,5.0
A,Yangon,Normal,Female,Sports and travel,75.5,10,792.75,Credit card,6.0
C,Naypyitaw,Member,Female,Sports and travel,42.33,4,177.79,Ewallet,9.7
B,Mandalay,Member,Male,Electronic accessories,75.45,3,237.67,Ewallet,8.4
C,Naypyitaw,Member,Male,Home and lifestyle,74.0,1,77.7,Cash,9.3
B,Mandalay,Member,Male,Fashion accessories,19.73,1,20.72,Ewallet,8.1
B,Mandalay,Normal,Female,Health and beauty,59.26,8,497.78,Credit card,4.9
C,Naypyitaw,Member,Female,Sports and travel,69.55,9,657.25,Cash,7.7
C,Naypyitaw,Member,Female,Health and beauty,56.04,10,588.42,Ewallet,5.7
A,Yangon,Normal,Male,Food and beverages,27.98,5,146.9,Credit card,9.8
B,Mandalay,Normal,Female,Electronic accessories,13.55,8,113.82,Ewallet,8.1
B,Mandalay,Normal,Male,Health and beauty,11.15,2,23.42,Ewallet,9.0
C,Naypyitaw,Normal,Male,Health and beauty,80.16,2,168.34,Credit card,8.3
B,Mandalay,Member,Female,Home and lifestyle,33.77,1,35.46,Ewallet,8.9
A,Yangon,Normal,Female,Fashion accessories,38.14,2,80.09,Ewallet,9.1
A,Yangon,Member,Male,Fashion accessories,68.25,6,429.98,Cash,9.4
C,Naypyitaw,Normal,Male,Home and lifestyle,83.35,3,262.55,Ewallet,6.4
B,Mandalay,Normal,Female,Fashion accessories,86.56,7,636.22,Credit card,9.3
A,Yangon,Member,Male,Fashion accessories,75.38,3,237.45,Ewallet,6.5
C,Naypyitaw,Normal,Female,Electronic accessories,65.02,6,409.63,Credit card,4.2
C,Naypyitaw,Member,Female,Sports and travel,20.16,7,148.18,Cash,4.3
B,Mandalay,Normal,Male,Fashion accessories,88.15,9,833.02,Credit card,7.5
C,Naypyitaw,Member,Female,Food and beverages,57.08,10,599.34,Ewallet,6.6
C,Naypyitaw,Member,Female,Home and lifestyle,69.73,7,512.52,Ewallet,9.0
C,Naypyitaw,Member,Male,Fashion accessories,94.09,9,889.15,Cash,9.1
A,Yangon,Member,Female,Home and lifestyle,31.68,5,166.32,Ewallet,7.0
C,Naypyitaw,Normal,Female,Electronic accessories,17.09,8,143.56,Credit card,6.7
B,Mandalay,Normal,Female,Health and beauty,98.26,1,103.17,Ewallet,6.4
A,Yangon,Member,Male,Food and beverages,96.69,5,507.62,Credit card,7.4
C,Naypyitaw,Normal,Female,Home and lifestyle,84.28,4,353.98,Cash,6.0
C,Naypyitaw,Normal,Female,Fashion accessories,50.73,2,106.53,Credit card,5.3
B,Mandalay,Normal,Female,Food and beverages,56.98,2,119.66,Ewallet,9.4
B,Mandalay,Member,Female,Health and beauty,32.89,4,138.14,Ewallet,4.7
B,Mandalay,Member,Female,Electronic accessories,74.51,2,156.47,Cash,4.3
C,Naypyitaw,Member,Female,Sports and travel,69.26,9,654.51,Ewallet,9.8
A,Yangon,Member,Female,Food and beverages,53.46,9,505.2,Ewallet,8.2
A,Yangon,Member,Male,Sports and travel,69.18,10,726.39,Cash,7.0
B,Mandalay,Normal,Male,Home and lifestyle,45.81,6,288.6,Cash,6.7
A,Yangon,Member,Female,Food and beverages,73.0,9,689.85,Cash,9.1
C,Naypyitaw,Normal,Male,Electronic accessories,28.87,5,151.57,Credit card,6.1
C,Naypyitaw,Member,Male,Food and beverages,58.82,6,370.57,Credit card,4.7
B,Mandalay,Normal,Female,Fashion accessories,77.31,9,730.58,Cash,9.3
B,Mandalay,Member,Male,Health and beauty,44.28,1,46.49,Credit card,4.3
B,Mandalay,Member,Female,Fashion accessories,32.55,1,34.18,Credit card,8.7
A,Yangon,Member,Female,Sports and travel,19.22,9,181.63,Ewallet,8.5
C,Naypyitaw,Normal,Male,Food and beverages,80.59,5,423.1,Credit card,8.0
B,Mandalay,Normal,Female,Fashion accessories,38.14,9,360.42,Ewallet,4.1
B,Mandalay,Member,Female,Electronic accessories,92.03,6,579.79,Credit card,7.3
C,Naypyitaw,Member,Male,Home and lifestyle,50.39,2,105.82,Ewallet,9.8
C,Naypyitaw,Member,Female,Health and beauty,48.57,9,458.99,Cash,4.8
C,Naypyitaw,Normal,Male,Home and lifestyle,51.97,3,163.71,Ewallet,4.9
B,Mandalay,Member,Female,Sports and travel,81.09,9,766.3,Cash,4.4
C,Naypyitaw,Normal,Male,Electronic accessories,56.85,9,537.23,Ewallet,6.5
C,Naypyitaw,Normal,Male,Home and lifestyle,29.91,4,125.62,Credit card,6.0
B,Mandalay,Normal,Male,Food and beverages,57.74,9,545.64,Credit card,4.1
C,Naypyitaw,Normal,Female,Electronic accessories,91.4,10,959.7,Credit card,5.5
A,Yangon,Normal,Female,Health and beauty,44.73,9,422.7,Credit card,5.7
C,Naypyitaw,Normal,Female,Sports and travel,13.95,4,58.59,Cash,7.1
A,Yangon,Member,Male,Fashion accessories,15.89,4,66.74,Credit card,6.5
A,Yangon,Member,Female,Fashion accessories,83.51,2,175.37,Credit card,8.1
A,Yangon,Normal,Female,Health and beauty,17.88,1,18.77,Ewallet,8.8
C,Naypyitaw,Member,Male,Home and lifestyle,46.69,8,392.2,Credit card,6.4
B,Mandalay,Member,Female,Fashion accessories,20.65,1,21.68,Credit card,8.3
A,Yangon,Member,Male,Home and lifestyle,93.52,2,196.39,Cash,8.7
B,Mandalay,Member,Female,Sports and travel,44.33,1,46.55,Cash,4.9
A,Yangon,Member,Female,Food and beverages,36.55,3,115.13,Cash,8.1
C,Naypyitaw,Normal,Male,Food and beverages,88.73,3,279.5,Ewallet,4.3
C,Naypyitaw,Normal,Male,Home and lifestyle,28.9,6,182.07,Ewallet,6.5
C,Naypyitaw,Member,Male,Electronic accessories,29.87,5,156.82,Ewallet,4.7
C,Naypyitaw,Member,Female,Fashion accessories,59.47,5,312.22,Credit card,4.4
A,Yangon,Member,Female,Home and lifestyle,42.14,4,176.99,Ewallet,5.7
A,Yangon,Member,Female,Sports and travel,50.56,10,530.88,Credit card,5.8
C,Naypyitaw,Member,Female,Home and lifestyle,96.28,3,303.28,Ewallet,5.9
A,Yangon,Normal,Female,Home and lifestyle,22.09,6,139.17,Cash,6.8
B,Mandalay,Normal,Female,Food and beverages,19.79,10,207.79,Ewallet,9.1
A,Yangon,Member,Female,Fashion accessories,89.77,2,188.52,Credit card,4.5
A,Yangon,Member,Female,Food and beverages,29.15,1,30.61,Credit card,5.6
C,Naypyitaw,Normal,Male,Home and lifestyle,45.32,10,475.86,Credit card,9.1
A,Yangon,Normal,Male,Sports and travel,42.75,1,44.89,Credit card,5.4
C,Naypyitaw,Member,Male,Sports and travel,24.33,10,255.47,Credit card,8.0
A,Yangon,Normal,Female,Health and beauty,29.69,8,249.4,Ewallet,4.4
B,Mandalay,Member,Male,Fashion accessories,28.61,6,180.24,Cash,6.8
B,Mandalay,Member,Male,Fashion accessories,39.17,9,370.16,Credit card,9.0
C,Naypyitaw,Normal,Male,Sports and travel,68.83,6,433.63,Credit card,7.9
A,Yangon,Normal,Female,Electronic accessories,56.47,6,355.76,Cash,6.9
B,Mandalay,Member,Male,Sports and travel,24.9,2,52.29,Credit card,7.9
A,Yangon,Member,Male,Electronic accessories,42.6,2,89.46,Credit card,5.4
B,Mandalay,Member,Female,Fashion accessories,53.09,4,222.98,Credit card,5.0
B,Mandalay,Member,Male,Health and beauty,21.51,10,225.86,Ewallet,4.8
C,Naypyitaw,Member,Male,Health and beauty,24.97,3,78.66,Credit card,9.7
C,Naypyitaw,Member,Female,Health and beauty,29.49,10,309.64,Cash,9.2
A,Yangon,Member,Female,Food and beverages,22.84,10,239.82,Ewallet,7.7
C,Naypyitaw,Normal,Male,Fashion accessories,71.7,8,602.28,Credit card,7.5
A,Yangon,Normal,Female,Electronic accessories,19.77,4,83.03,Credit card,9.2
C,Naypyitaw,Normal,Male,Food and beverages,18.67,8,156.83,Credit card,7.6
C,Naypyitaw,Member,Male,Sports and travel,69.35,10,728.18,Credit card,9.0
C,Naypyitaw,Normal,Female,Home and lifestyle,88.73,9,838.5,Cash,5.4
B,Mandalay,Normal,Female,Food and beverages,82.42,10,865.41,Ewallet,6.6
B,Mandalay,Normal,Male,Health and beauty,35.49,9,335.38,Cash,5.5
A,Yangon,Member,Male,Food and beverages,10.65,4,44.73,Credit card,8.8
B,Mandalay,Normal,Male,Electronic accessories,48.35,10,507.68,Cash,5.6
C,Naypyitaw,Normal,Female,Food and beverages,34.8,7,255.78,Ewallet,6.5
C,Naypyitaw,Normal,Male,Home and lifestyle,60.32,8,506.69,Cash,9.9
C,Naypyitaw,Normal,Female,Fashion accessories,22.43,2,47.1,Credit card,5.4
C,Naypyitaw,Member,Male,Electronic accessories,55.75,6,351.23,Credit card,7.7
C,Naypyitaw,Member,Male,Sports and travel,96.81,1,101.65,Ewallet,8.9
B,Mandalay,Normal,Male,Health and beauty,33.68,6,212.18,Ewallet,7.7
C,Naypyitaw,Normal,Female,Food and beverages,69.06,5,362.57,Credit card,9.8
A,Yangon,Member,Female,Sports and travel,10.96,9,103.57,Cash,5.2
C,Naypyitaw,Member,Male,Fashion accessories,13.25,4,55.65,Credit card,4.0
A,Yangon,Member,Female,Sports and travel,41.78,7,307.08,Cash,7.5
C,Naypyitaw,Member,Male,Health and beauty,59.46,9,561.9,Credit card,6.1
B,Mandalay,Member,Male,Sports and travel,93.67,10,983.54,Ewallet,5.6
B,Mandalay,Member,Male,Food and beverages,36.48,2,76.61,Credit card,9.7
C,Naypyitaw,Normal,Female,Sports and travel,60.69,4,254.9,Cash,9.8
B,Mandalay,Normal,Male,Sports and travel,20.46,2,42.97,Cash,7.8
A,Yangon,Member,Female,Sports and travel,95.99,9,907.11,Credit card,4.1
B,Mandalay,Member,Female,Health and beauty,45.9,6,289.17,Ewallet,7.3
A,Yangon,Normal,Female,Home and lifestyle,29.67,10,311.54,Cash,5.1
C,Naypyitaw,Member,Female,Fashion accessories,27.97,4,117.47,Cash,5.2
A,Yangon,Member,Female,Electronic accessories,80.1,2,168.21,Ewallet,8.1
C,Naypyitaw,Normal,Male,Food and beverages,96.22,8,808.25,Cash,7.7
B,Mandalay,Normal,Female,Electronic accessories,98.6,9,931.77,Cash,6.4
C,Naypyitaw,Member,Male,Food and beverages,81.93,8,688.21,Credit card,4.2
B,Mandalay,Normal,Male,Sports and travel,97.89,9,925.06,Cash,5.9
A,Yangon,Member,Male,Sports and travel,62.29,6,392.43,Cash,7.7
B,Mandalay,Member,Female,Electronic accessories,34.25,10,359.62,Cash,6.2
B,Mandalay,Normal,Male,Sports and travel,73.06,6,460.28,Cash,9.1
B,Mandalay,Normal,Male,Food and beverages,21.8,10,228.9,Credit card,5.4
A,Yangon,Normal,Male,Food and beverages,48.9,7,359.42,Ewallet,4.9
C,Naypyitaw,Member,Female,Health and beauty,25.89,8,217.48,Ewallet,10.0
C,Naypyitaw,Normal,Female,Home and lifestyle,32.59,10,342.2,Ewallet,6.4
C,Naypyitaw,Member,Male,Electronic accessories,83.24,8,699.22,Credit card,4.6
C,Naypyitaw,Normal,Female,Home and lifestyle,42.43,9,400.96,Cash,6.1
B,Mandalay,Member,Female,Fashion accessories,96.68,4,406.06,Credit card,7.5
C,Naypyitaw,Member,Female,Home and lifestyle,39.26,9,371.01,Cash,8.6
B,Mandalay,Member,Female,Food and beverages,35.79,3,112.74,Ewallet,7.8
B,Mandalay,Normal,Female,Health and beauty,17.12,6,107.86,Ewallet,5.9
C,Naypyitaw,Normal,Female,Food and beverages,68.02,5,357.1,Cash,8.7
B,Mandalay,Normal,Female,Electronic accessories,26.55,1,27.88,Ewallet,8.4
C,Naypyitaw,Normal,Male,Electronic accessories,25.02,2,52.54,Ewallet,4.4
B,Mandalay,Member,Male,Sports and travel,57.16,2,120.04,Ewallet,5.6
A,Yangon,Member,Female,Home and lifestyle,30.64,5,160.86,Cash,7.8
A,Yangon,Member,Male,Health and beauty,69.72,6,439.24,Cash,6.8
C,Naypyitaw,Normal,Female,Electronic accessories,97.26,9,919.11,Ewallet,7.5
B,Mandalay,Normal,Female,Home and lifestyle,53.35,4,224.07,Ewallet,6.7
B,Mandalay,Normal,Female,Electronic accessories,37.32,1,39.19,Credit card,8.9
A,Yangon,Normal,Female,Sports and travel,58.16,8,488.54,Cash,5.8
B,Mandalay,Normal,Male,Health and beauty,59.34,4,249.23,Cash,9.3
B,Mandalay,Normal,Male,Electronic accessories,74.34,7,546.4,Cash,5.3
A,Yangon,Normal,Male,Food and beverages,78.81,10,827.51,Credit card,8.1
B,Mandalay,Normal,Female,Electronic accessories,86.81,3,273.45,Ewallet,5.7
C,Naypyitaw,Normal,Female,Home and lifestyle,73.04,8,613.54,Ewallet,5.9
A,Yangon,Member,Male,Electronic accessories,97.51,5,511.93,Cash,4.8
B,Mandalay,Member,Male,Health and beauty,23.56,8,197.9,Ewallet,6.1
B,Mandalay,Normal,Female,Sports and travel,72.72,1,76.36,Cash,4.5
A,Yangon,Member,Female,Sports and travel,16.42,8,137.93,Ewallet,5.2
B,Mandalay,Normal,Male,Health and beauty,97.71,4,410.38,Cash,8.6
B,Mandalay,Member,Male,Electronic accessories,51.48,2,108.11,Credit card,8.0
A,Yangon,Normal,Female,Fashion accessories,96.51,6,608.01,Ewallet,7.8
A,Yangon,Member,Female,Sports and travel,67.47,4,283.37,Cash,9.3
C,Naypyitaw,Member,Male,Electronic accessories,66.96,6,421.85,Ewallet,5.0
B,Mandalay,Member,Female,Electronic accessories,10.8,1,11.34,Credit card,8.7
B,Mandalay,Member,Female,Health and beauty,32.39,8,272.08,Ewallet,8.1
B,Mandalay,Member,Male,Home and lifestyle,68.01,9,642.69,Ewallet,4.8
A,Yangon,Normal,Female,Sports and travel,75.99,1,79.79,Credit card,6.3
C,Naypyitaw,Member,Female,Health and beauty,53.68,8,450.91,Credit card,5.8
C,Naypyitaw,Normal,Male,Food and beverages,26.8,6,168.84,Cash,8.4
B,Mandalay,Member,Male,Food and beverages,23.95,5,125.74,Cash,7.2
B,Mandalay,Member,Female,Fashion accessories,26.7,1,28.04,Credit card,9.1
C,Naypyitaw,Member,Female,Fashion accessories,15.7,9,148.36,Cash,5.1
C,Naypyitaw,Normal,Male,Food and beverages,35.48,7,260.78,Credit card,5.9
A,Yangon,Member,Male,Electronic accessories,26.08,1,27.38,Ewallet,4.6
A,Yangon,Member,Male,Food and beverages,67.76,7,498.04,Credit card,6.9
C,Naypyitaw,Normal,Male,Home and lifestyle,29.87,2,62.73,Ewallet,9.6
A,Yangon,Normal,Male,Sports and travel,82.09,1,86.19,Cash,7.3
B,Mandalay,Normal,Male,Food and beverages,33.92,1,35.62,Credit card,4.4
B,Mandalay,Member,Male,Food and beverages,18.74,4,78.71,Credit card,6.3
A,Yangon,Member,Male,Food and beverages,77.43,7,569.11,Credit card,4.6
C,Naypyitaw,Normal,Female,Fashion accessories,69.87,2,146.73,Ewallet,8.8
C,Naypyitaw,Normal,Female,Fashion accessories,24.24,10,254.52,Cash,9.6
